"filename", "language", "Python", "Markdown", "Django Template", "Database", "JavaScript", "comment", "blank", "total"
"c:\Users\taylo\datashow_tcc\templates\account\signup_closed.html", "Django Template", 0, 0, 7, 0, 0, 0, 5, 12
"c:\Users\taylo\datashow_tcc\templates\account\snippets\already_logged_in.html", "Django Template", 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\taylo\datashow_tcc\templates\account\verification_sent.html", "Django Template", 0, 0, 7, 0, 0, 0, 6, 13
"c:\Users\taylo\datashow_tcc\templates\account\verified_email_required.html", "Django Template", 0, 0, 14, 0, 0, 0, 10, 24
"c:\Users\taylo\datashow_tcc\templates\openid\base.html", "Django Template", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\taylo\datashow_tcc\templates\openid\login.html", "Django Template", 0, 0, 11, 0, 0, 0, 8, 19
"c:\Users\taylo\datashow_tcc\templates\socialaccount\authentication_error.html", "Django Template", 0, 0, 7, 0, 0, 0, 5, 12
"c:\Users\taylo\datashow_tcc\templates\socialaccount\base.html", "Django Template", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\taylo\datashow_tcc\templates\socialaccount\connections.html", "Django Template", 0, 0, 38, 0, 0, 0, 17, 55
"c:\Users\taylo\datashow_tcc\templates\socialaccount\login.html", "Django Template", 0, 0, 16, 0, 0, 0, 6, 22
"c:\Users\taylo\datashow_tcc\templates\socialaccount\login_cancelled.html", "Django Template", 0, 0, 8, 0, 0, 0, 8, 16
"c:\Users\taylo\datashow_tcc\templates\socialaccount\signup.html", "Django Template", 0, 0, 16, 0, 0, 0, 7, 23
"c:\Users\taylo\datashow_tcc\templates\socialaccount\snippets\login_extra.html", "Django Template", 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\taylo\datashow_tcc\templates\socialaccount\snippets\provider_list.html", "Django Template", 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\taylo\datashow_tcc\usuarios\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\taylo\datashow_tcc\usuarios\admin.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\taylo\datashow_tcc\usuarios\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\taylo\datashow_tcc\usuarios\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\taylo\datashow_tcc\usuarios\models.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\taylo\datashow_tcc\usuarios\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\taylo\datashow_tcc\usuarios\urls.py", "Python", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\taylo\datashow_tcc\usuarios\views.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"Total", "-", 425, 2, 647, 232, 603, 141, 466, 2516
